sku,handle,name,category,category_slug,vendor,unit,price,currency,price_type,in_stock,stock_qty,description,image_count,primary_image,source_url
HP-PWR-CUSTOM,customize-your-own-power-pod,Customize your own Power Pod,Power Pods,power-pods,Hydropod,1 unit,100.0,INR,quote,False,0,"The Innovative Dual-Vessel System is designed for customized filtration and softening combinations , ensuring optimal purification for complex water conditions.",2,hp-pwr-custom-1.webp,https://hydropod.in/products/customize-your-own-power-pod
HP-PWR-FILTHEXA,filt-pod-hexa-pod,Filt Pod + Hexa Pod,Power Pods,power-pods,Hydropod,1 unit,100.0,INR,quote,False,0,"The Innovative Dual-Vessel System is designed for customized filtration and softening combinations , ensuring optimal purification for complex water conditions.",2,hp-pwr-filthexa-1.webp,https://hydropod.in/products/filt-pod-hexa-pod
HP-PWR-CARBOPURPLE,carbo-pod-purple-pod,Carbo Pod + Purple Pod,Power Pods,power-pods,Hydropod,1 unit,100.0,INR,quote,False,0,"The Innovative Dual-Vessel System is designed for customized filtration and softening combinations , ensuring optimal purification for complex water conditions.",2,hp-pwr-carbopurple-1.webp,https://hydropod.in/products/carbo-pod-purple-pod
HP-PWR-FILTPURPLE,filt-pod-purple-pod,Filt Pod + Purple Pod,Power Pods,power-pods,Hydropod,1 unit,0.0,INR,quote,False,0,"The Innovative Dual-Vessel System is designed for customized filtration and softening combinations , ensuring optimal purification for complex water conditions.",2,hp-pwr-filtpurple-1.webp,https://hydropod.in/products/filt-pod-purple-pod
HP-VLV-TWIN,twin-valve,Twin Valve,Control Valves,control-valves,Hydropod,1 valve,1200.0,INR,listed,False,0,Specifically engineered for filtration applications.,1,hp-vlv-twin-1.webp,https://hydropod.in/products/twin-valve
HP-VLV-SOFT,softner-valve,Softener Valve,Control Valves,control-valves,Hydropod,1 valve,700.0,INR,listed,True,25,"Superior Piston based technology for better control, easy repairability & longer life",1,hp-vlv-soft-1.webp,https://hydropod.in/products/softner-valve
HP-VLV-FILT,filter-valve,Filter Valve,Control Valves,control-valves,Hydropod,1 valve,4000.0,INR,listed,True,25,Specifically engineered for filtration applications.,1,hp-vlv-filt-1.webp,https://hydropod.in/products/filter-valve
HP-DEF-HEAVYMETAL,heavy-metal-removal,Heavy Metal Removal,Defender,defender,Hydropod,1 cartridge,2000.0,INR,listed,True,25,Handles Inlet Levels: < 5 ppm,1,hp-def-heavymetal-1.webp,https://hydropod.in/products/heavy-metal-removal
HP-DEF-URANIUM,uranium-removal,Uranium Removal,Defender,defender,Hydropod,1 cartridge,2400.0,INR,listed,False,0,Handles Inlet Levels: < 1 ppm,1,hp-def-uranium-1.webp,https://hydropod.in/products/uranium-removal
HP-DEF-NITRATE,nitrate-removal,Nitrate Removal,Defender,defender,Hydropod,1 cartridge,800.0,INR,listed,True,25,Handles Inlet Levels: < 15 ppm,1,hp-def-nitrate-1.webp,https://hydropod.in/products/nitrate-removal
HP-DEF-FLUORIDE,fluoride-removal,Fluoride Removal,Defender,defender,Hydropod,1 cartridge,1900.0,INR,listed,True,25,Handles Inlet Levels: < 5 ppm,1,hp-def-fluoride-1.webp,https://hydropod.in/products/fluoride-removal
HP-DEF-IRON,iron-removal,Iron Removal,Defender,defender,Hydropod,1 cartridge,3300.0,INR,listed,True,25,Handles Inlet Levels: < 3 ppm,1,hp-def-iron-1.webp,https://hydropod.in/products/iron-removal
HP-DEF-ARSENIC,arsenic-removal,Arsenic Removal,Defender,defender,Hydropod,1 cartridge,3000.0,INR,listed,True,25,Handles Inlet Levels: < 1 ppm,1,hp-def-arsenic-1.webp,https://hydropod.in/products/arsenic-removal
HP-ACC-SALT,salt-pellets,Salt Pellets,Essential Accessories,essential-accessories,Hydropod,25 kg bag,500.0,INR,listed,True,25,Specifically engineered for Water Softening Applications.,1,hp-acc-salt-1.webp,https://hydropod.in/products/salt-pellets
HP-ACC-LIQ,liquicharge,LiquiCharge,Essential Accessories,essential-accessories,Hydropod,5 L can,500.0,INR,listed,True,25,Specifically engineered for Water Softening Applications.,1,hp-acc-liq-1.webp,https://hydropod.in/products/liquicharge
HP-ACC-RESIN,ion-exchange-resins,Ion Exchange Resins,Essential Accessories,essential-accessories,Hydropod,25 L bag,1300.0,INR,listed,True,25,"Being global leader in ion exchange resins, we leverage our expertise in polymer chemistry to deliver superior efficiency and durability.",1,hp-acc-resin-1.webp,https://hydropod.in/products/ion-exchange-resins
HP-ACC-MEDIA,filtration-media,Filtration Media,Essential Accessories,essential-accessories,Hydropod,per cu.ft,4800.0,INR,listed,True,25,"As one of India’s leading suppliers of water filtration solutions, Doshion brings its cutting edge filtration technologies to the HydroPod Division.",1,hp-acc-media-1.webp,https://hydropod.in/products/filtration-media
HP-DIP-CHAM,d-ionpure-chameleon,D-Ionpure Chameleon,D-Ionpure,d-ionpure,Hydropod,1 cartridge,750.0,INR,listed,True,25,Intelligent DM water solution with color-changing resin for real-time monitoring.,1,hp-dip-cham-1.webp,https://hydropod.in/products/d-ionpure-chameleon
HP-DIP-CAPS,d-ionpure-capsule,D-Ionpure Capsule,D-Ionpure,d-ionpure,Hydropod,1 cartridge,1850.0,INR,listed,True,25,Reliable medium-scale DM water solution.,1,hp-dip-caps-1.webp,https://hydropod.in/products/d-ionpure-capsule
HP-DIP-JUMBO,d-ionpure-jumbo,D-Ionpure Jumbo,D-Ionpure,d-ionpure,Hydropod,1 cartridge,620.0,INR,listed,True,25,High-capacity system for large-scale operations.,1,hp-dip-jumbo-1.webp,https://hydropod.in/products/d-ionpure-jumbo
HP-DIP-CART,d-ionpure-cartridge,D-Ionpure Cartridge,D-Ionpure,d-ionpure,Hydropod,1 cartridge,940.0,INR,listed,True,25,Compact and efficient design for small-scale use.,1,hp-dip-cart-1.webp,https://hydropod.in/products/d-ionpure-cartridge
